iter	Passed	Remaining
0	0	85
1	1	83
2	2	78
3	2	71
4	3	70
5	4	68
6	5	68
7	5	68
8	6	66
9	7	65
10	7	63
11	8	62
12	9	63
13	10	62
14	10	61
15	11	61
16	12	59
17	12	58
18	13	58
19	14	57
20	15	57
21	16	57
22	17	56
23	17	56
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	24	48
33	24	47
34	25	46
35	26	46
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	37
46	32	37
47	33	36
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	37	29
56	38	28
57	39	28
58	39	27
59	40	26
60	40	26
61	41	25
62	41	24
63	42	23
64	43	23
65	43	22
66	44	21
67	44	21
68	45	20
69	45	19
70	46	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	52	11
82	52	10
83	53	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
