iter	Passed	Remaining
0	137	136980
1	137	68767
2	138	45989
3	138	34591
4	139	27751
5	140	23216
6	140	19975
7	141	17533
8	142	15646
9	142	14121
10	143	12870
11	143	11827
12	144	10945
13	144	10193
14	145	9536
15	145	8963
16	146	8465
17	147	8023
18	147	7625
19	148	7262
20	148	6935
21	149	6641
22	149	6371
23	150	6123
24	151	5894
25	151	5681
26	152	5484
27	152	5309
28	153	5141
29	154	4983
30	154	4833
31	155	4693
32	155	4564
33	156	4441
34	156	4323
35	157	4212
36	157	4107
37	158	4009
38	159	3929
39	160	3843
40	160	3759
41	161	3683
42	162	3609
43	162	3539
44	163	3474
45	164	3407
46	164	3341
47	165	3283
48	166	3225
49	166	3170
50	167	3117
51	168	3064
52	168	3014
53	169	2965
54	169	2918
55	170	2873
56	171	2830
57	171	2788
58	172	2747
59	173	2711
60	173	2673
61	174	2640
62	175	2605
63	175	2569
64	176	2535
65	176	2502
66	177	2474
67	178	2444
68	179	2417
69	179	2387
70	180	2358
71	180	2330
72	181	2303
73	182	2277
74	182	2251
75	183	2226
76	183	2202
77	184	2179
78	185	2157
79	185	2135
80	186	2113
81	186	2091
82	187	2067
83	187	2046
84	188	2026
85	188	2007
86	189	1988
87	190	1971
88	190	1954
89	191	1937
90	192	1919
91	193	1908
92	194	1892
93	194	1875
94	195	1859
95	195	1842
96	196	1827
97	197	1815
98	197	1801
99	198	1788
100	199	1774
101	199	1760
102	200	1746
103	201	1733
104	201	1720
105	202	1707
106	203	1695
107	203	1682
108	204	1671
109	205	1660
110	205	1649
111	206	1639
112	207	1630
113	208	1621
114	209	1613
115	210	1604
116	211	1593
117	212	1585
118	212	1574
119	213	1565
120	214	1554
121	214	1543
122	222	1583
123	222	1573
124	223	1564
125	224	1556
126	224	1545
127	225	1535
128	226	1527
129	226	1517
130	227	1507
131	227	1498
132	228	1491
133	229	1483
134	230	1474
135	230	1465
136	231	1456
137	231	1448
138	232	1440
139	233	1431
140	233	1423
141	234	1414
142	234	1407
143	235	1400
144	236	1392
145	237	1386
146	237	1379
147	238	1372
148	239	1365
149	239	1358
150	240	1351
151	241	1345
152	241	1338
153	242	1332
154	243	1326
155	243	1320
156	244	1313
157	245	1307
158	245	1300
159	246	1293
160	246	1286
